Date,Year,Company,Ticker,Exchange,Open,High,Low,Close,Volume
2020-12-28,2020,Tata Steel Limited,TATASTEEL.NS,NSE,55.53,55.93,55.1,55.36,84113960
2021-01-04,2021,Tata Steel Limited,TATASTEEL.NS,NSE,55.87,62.97,55.65,61.39,1369022380
2021-01-11,2021,Tata Steel Limited,TATASTEEL.NS,NSE,61.29,62.37,59.25,60.77,931331590
2021-01-18,2021,Tata Steel Limited,TATASTEEL.NS,NSE,60.95,61.01,54.55,55.7,1194370260
2021-01-25,2021,Tata Steel Limited,TATASTEEL.NS,NSE,56.04,56.98,51.31,51.74,751848840
2021-02-01,2021,Tata Steel Limited,TATASTEEL.NS,NSE,52.07,59.45,51.43,58.97,978459150
2021-02-08,2021,Tata Steel Limited,TATASTEEL.NS,NSE,59.74,62.37,58.41,58.58,1392433000
2021-02-15,2021,Tata Steel Limited,TATASTEEL.NS,NSE,59.15,61.21,56.47,57.74,1000395260
2021-02-22,2021,Tata Steel Limited,TATASTEEL.NS,NSE,57.93,64.82,57.75,61.57,1341861560
2021-03-01,2021,Tata Steel Limited,TATASTEEL.NS,NSE,62.33,67.36,61.24,63.13,937706620
2021-03-08,2021,Tata Steel Limited,TATASTEEL.NS,NSE,64.04,64.67,60.46,61.98,659783030
2021-03-15,2021,Tata Steel Limited,TATASTEEL.NS,NSE,62.16,63.71,58.65,63.1,776124210
2021-03-22,2021,Tata Steel Limited,TATASTEEL.NS,NSE,62.94,66.71,59.26,66.02,1262991960
2021-03-29,2021,Tata Steel Limited,TATASTEEL.NS,NSE,66.02,74.8,66.02,74.3,933661510
2021-04-05,2021,Tata Steel Limited,TATASTEEL.NS,NSE,74.21,82.1,72.07,77.44,1537102390
2021-04-12,2021,Tata Steel Limited,TATASTEEL.NS,NSE,75.46,78.72,72.6,76.64,818189610
2021-04-19,2021,Tata Steel Limited,TATASTEEL.NS,NSE,74.88,81.35,74.04,79.68,927174900
2021-04-26,2021,Tata Steel Limited,TATASTEEL.NS,NSE,80.49,90.62,80.07,89.01,1394357260
2021-05-03,2021,Tata Steel Limited,TATASTEEL.NS,NSE,88.84,102.62,87.68,101.79,1712055370
2021-05-10,2021,Tata Steel Limited,TATASTEEL.NS,NSE,104.17,107.34,96.01,97.46,1377264890
2021-05-17,2021,Tata Steel Limited,TATASTEEL.NS,NSE,97.97,103.0,94.53,95.82,1133135150
2021-05-24,2021,Tata Steel Limited,TATASTEEL.NS,NSE,95.39,98.45,92.33,95.0,944699100
